species,spp,genus,sp.ep,past_survey,current_survey,seed.mix,family
Acer_negundo,ACENEG,Acer,negundo,yes,yes,no,Sapindaceae
Acer_rubrum,ACERUB,Acer,rubrum,no,yes,no,Sapindaceae
Acer_saccharum,ACESAC,Acer,saccharum,no,yes,no,Sapindaceae
Achillea_millefolium,ACHMIL,Achillea,millefolium,yes,no,yes,Asteraceae
Actaea_pachypoda,ACTPAC,Actaea,pachypoda,yes,no,no,Ranunculaceae
Actaea_racemosa,NA,NA,NA,no,no,yes,Ranunculaceae
Actaea_rubra,ACTRUB,Actaea,rubra,yes,yes,no,Ranunculaceae
Adiantum_pedatum,ADIPED,Adiantum,pedatum,no,yes,no,Pteridaceae
Agastache_foeniculum,NA,NA,NA,no,no,yes,Lamiaceae
Agastache_nepetoides,NA,NA,NA,no,no,yes,Lamiaceae
Agastache_scrophulariifolia,NA,NA,NA,no,no,yes,Lamiaceae
Ageratina_altissima,AGEALT,Ageratina,altissima,no,yes,yes,Asteraceae
Agrimonia_gryposepala,AGRGRY,Agrimonia,gryposepala,yes,yes,no,Rosaceae
Agrostis_perennans,NA,NA,NA,no,no,yes,Poaceae
Alliaria_petiolata,ALLPET,Alliaria,petiolata,no,yes,no,Brassicaceae
Allium_canadense,NA,NA,NA,no,no,yes,Amaryllidaceae
Allium_cernuum,NA,NA,NA,no,no,yes,Amaryllidaceae
Amaranthus_blitoides,AMABLI,Amaranthus,blitoides,no,yes,no,Amaranthaceae
Ambrosia_artemisiifolia,AMBART,Ambrosia,artemisiifolia,yes,yes,no,Asteraceae
Ambrosia_psilostachya,AMBPSI,Ambrosia,psilostachya,yes,no,no,Asteraceae
Amelanchier_sp,AMESPP,Amelanchier,spp.,yes,yes,no,Rosaceae
Amorpha_canescens,AMOCAN,Amorpha,canescens,yes,yes,yes,Fabaceae
Amphicarpaea_bracteata,AMPBRA,Amphicarpaea,bracteata,yes,yes,no,Fabaceae
Andropogon_gerardii,ANDGER,Andropogon,gerardii,yes,yes,yes,Poaceae
Anemone_canadensis,NA,NA,NA,no,no,yes,Ranunculaceae
Anemone_cylindrica,ANECYL,Anemone,cylindrica,yes,no,yes,Ranunculaceae
Anemone_patens,ANEPAT,Anemone,patens,yes,no,no,Ranunculaceae
Anemone_quinquefolia,ANEQUI,Anemone,quinquefolia,yes,yes,no,Ranunculaceae
Anemone_virginiana,ANEVIR,Anemone,virginiana,yes,yes,yes,Ranunculaceae
Antennaria_sp,ANTSPP,Antennaria,spp.,yes,yes,no,Asteraceae
Apocynum_androsaemifolium,APOAND,Apocynum,androsaemifolium,yes,no,no,Apocynaceae
Apocynum_cannabinum,APOCAN,Apocynum,cannabinum,no,yes,no,Apocynaceae
Aquilegia_canadensis,AQUCAN,Aquilegia,canadensis,yes,yes,yes,Ranunculaceae
Arabidopsis_lyrata,ARBLYR,Arabidopsis,lyrata,yes,no,no,Brassicaceae
Aralia_nudicaulis,ARANUD,Aralia,nudicaulis,yes,yes,no,Araliaceae
Arctium_minus,ARCMIN,Arctium,minus,no,yes,no,Asteraceae
Arisaema_triphyllum,ARITRI,Arisaema,triphyllum,yes,yes,yes,Araceae
Arnoglossum_atriplicifolium,ARNATR,Arnoglossum,atriplicifolium,yes,no,yes,Asteraceae
Arnoglossum_reniforme,NA,NA,NA,no,no,yes,Asteraceae
Artemisia_campestris,ARTCAM,Artemisia,campestris,yes,no,no,Asteraceae
Artemisia_ludoviciana,NA,NA,NA,no,no,yes,Asteraceae
Asclepias_exaltata,ASCEXA,Asclepias,exaltata,no,yes,no,Apocynaceae
Asclepias_incarnata,NA,NA,NA,no,no,yes,Apocynaceae
Asclepias_sullivantii,ASCSUL,Asclepias,sullivantii,no,yes,no,Apocynaceae
Asclepias_syriaca,ASCSYR,Asclepias,syriaca,yes,no,yes,Apocynaceae
Asclepias_tuberosa,NA,NA,NA,no,no,yes,Apocynaceae
Asclepias_verticillata,ASCVER,Asclepias,verticillata,yes,no,no,Apocynaceae
Asparagus_officinalis,ASPOFF,Asparagus,officinalis,yes,yes,no,Asparagaceae
Astragalus_canadensis,NA,NA,NA,no,no,yes,Fabaceae
Athyrium_filix-femina,ATHFIL,Athyrium,filix-femina,yes,yes,no,Woodsiaceae
Aureolaria_sp,AURSPP,Aureolaria,spp.,yes,no,no,Orobanchaceae
Aureolaria_grandiflora,NA,NA,NA,no,no,yes,Orobanchaceae
Baptisia_australis,NA,NA,NA,no,no,yes,Fabaceae
Baptisia_bracteata,BAPBRA,Baptisia,bracteata,yes,no,no,Fabaceae
Baptisia_lactea,NA,NA,NA,no,no,yes,Fabaceae
Berberis_thunbergii,BERTHU,Berberis,thunbergii,no,yes,no,Berberidaceae
Bidens_sp,BIDSPP,Bidens,spp.,yes,yes,no,Asteraceae
Blephilia_hirsuta,NA,NA,NA,no,no,yes,Lamiaceae
Boltonia_asteroides,NA,NA,NA,no,no,yes,Asteraceae
Botrychium_multifidum,SCEMUL,Sceptridium,multifidium,yes,no,no,Ophioglossaceae
Botrychium_virginianum,BTPVIR,Botrypus,virginianus,yes,yes,no,Ophioglossaceae
Bouteloua_curtipendula,BOUCUR,Bouteloua,curtipendula,yes,yes,yes,Poaceae
Brickellia_eupatorioides,BRIEUP,Brickellia,eupatorioides,yes,no,yes,Asteraceae
Bromus_sp,BROSPP,Bromus,spp.,yes,yes,no,Poaceae
Bromus_ciliatus,NA,NA,NA,no,no,yes,Poaceae
Bromus_kalmii,NA,NA,NA,no,no,yes,Poaceae
Bromus_latiglumis,NA,NA,NA,no,no,yes,Poaceae
Bromus_pubescens,NA,NA,NA,no,no,yes,Poaceae
Calamagrostis_canadensis,CALCAN,Calamagrostis,canadensis,yes,no,no,Poaceae
Calystegia_sepium,CALSEP,Calystegia,sepium,yes,no,no,Convolvulaceae
Camassia_scilloides,NA,NA,NA,no,no,yes,Asparagaceae
Campanula_americana,CAMAME,Campanula,americana,no,yes,yes,Campanulaceae
Campanula_rotundifolia,CAMROT,Campanula,rotundifolia,yes,no,no,Campanulaceae
Capnoides_sempervirens,CORSEM,Corydalis,sempervirens,yes,no,no,Papaveraceae
Carex_sp,CARSPP,Carex,spp.,yes,yes,no,Cyperaceae
Carex_bicknellii,NA,NA,NA,no,no,yes,Cyperaceae
Carex_brevior,NA,NA,NA,no,no,yes,Cyperaceae
Carex_grisea,NA,NA,NA,no,no,yes,Cyperaceae
Carex_molesta,NA,NA,NA,no,no,yes,Cyperaceae
Carex_normalis,NA,NA,NA,no,no,yes,Cyperaceae
Carex_radiata,NA,NA,NA,no,no,yes,Cyperaceae
Carex_sprengelii,NA,NA,NA,no,no,yes,Cyperaceae
Carya_cordiformis,CARCOR,Carya,cordiformis,no,yes,no,Juglandaceae
Carya_ovata,CAROVA,Carya,ovata,yes,yes,no,Juglandaceae
Caulophyllum_thalictroides,CAUTHA,Caulophyllum,thalictroides,no,yes,no,Berberidaceae
Ceanothus_americanus,CEAAME,Ceanothus,americanus,yes,no,yes,Rhamnaceae
Celastrus_orbiculatus,CELORB,Celastrus,orbiculatus,no,yes,no,Celastraceae
Celastrus_scandens,CELSCA,Celastrus,scandens,yes,yes,yes,Celastraceae
Celtis_occidentalis,CELOCC,Celtis,occidentalis,no,yes,no,Cannabaceae
Chamaecrista_fasciculata,NA,NA,NA,no,no,yes,Fabaceae
Chenopodium_album,CHEALB,Chenopodium,album,no,yes,no,Amaranthaceae
Chondrosum_gracile,NA,NA,NA,no,no,yes,Poaceae
Chondrosum_hirsutum,BOUHIR,Bouteloua,hirsuta,yes,no,no,Poaceae
Circaea_lutetiana,CIRLUT,Circaea,lutetiana,yes,yes,no,Onagraceae
Cirsium_canescens,CIRCAN,Cirsium,canescens,yes,no,no,Asteraceae
Cirsium_discolor,CIRDIS,Cirsium,discolor,yes,no,no,Asteraceae
Clematis_virginiana,CLEVIR,Clematis,virginiana,no,yes,yes,Ranunculaceae
Comandra_umbellata,COMUMB,Comandra,umbellata,yes,yes,no,Santalaceae
Coreopsis_lanceolata,NA,NA,NA,no,no,yes,Asteraceae
Coreopsis_palmata,CORPAL,Coreopsis,palmata,yes,no,yes,Asteraceae
Coreopsis_tripteris,NA,NA,NA,no,no,yes,Asteraceae
Cornus_alternifolia,CORALT,Cornus,alternifolia,no,yes,no,Cornaceae
Cornus_racemosa,CORRAC,Cornus,racemosa,yes,yes,no,Cornaceae
Cornus_rugosa,CORRUG,Cornus,rugosa,yes,no,no,Cornaceae
Crataegus_sp,CRASPP,Crataegus,spp.,yes,no,no,Rosaceae
Crocanthemum_canadense,HELCAN,Helianthemum,canadense,yes,no,no,Cistaceae
Cryptotaenia_canadensis,CRYCAN,Cryptotaenia,canadensis,yes,yes,no,Apiaceae
Cystopteris_bulbifera,CYSBUL,Cystopteris,bulbifera,no,yes,no,Cystopteridaceae
Cystopteris_fragilis,CYSFRA,Cystopteris,fragilis,yes,no,no,Cystopteridaceae
Dalea_candida,DALCAN,Dalea,candida,yes,no,yes,Fabaceae
Dalea_purpurea,DALPUR,Dalea,purpurea,yes,no,yes,Fabaceae
Danthonia_spicata,DANSPI,Danthonia,spicata,yes,no,yes,Poaceae
Daucus_carota,DAUCAR,Daucus,carota,no,yes,no,Apiaceae
Desmodium_glutinosum,DESGLU,Desmodium,glutinosum,yes,yes,yes,Fabaceae
Desmodium_illinoense,DESILL,Desmodium,illinoense,yes,no,yes,Fabaceae
Desmodium_canadense,DESCAN,Desmodium,canadense,yes,no,yes,Fabaceae
Diarrhena_americana,NA,NA,NA,no,no,yes,Poaceae
Diarrhena_obovata,NA,NA,NA,no,no,yes,Poaceae
Dioscorea_villosa,DIOVIL,Dioscorea,villosa,yes,yes,no,Dioscoreaceae
Dodecatheon_meadia,DODMEA,Dodecatheon,meadia,yes,no,yes,Primulaceae
Dryopteris_expansa,DRYEXP,Dryopteris,expansa,no,yes,no,Dryopteridaceae
Dryopteris_marginalis,DRYMAR,Dryopteris,marginalis,yes,no,no,Dryopteridaceae
Echinacea_pallida,NA,NA,NA,no,no,yes,Asteraceae
Echinacea_purpurea,NA,NA,NA,no,no,yes,Asteraceae
Elymus_canadensis,ELYCAN,Elymus,canadensis,yes,no,yes,Poaceae
Elymus_elymoides,ELYHYS,Elymus,hystrix,yes,yes,yes,Poaceae
Elymus_trachycaulus,ELYTRA,Elymus,trachycaulus,yes,no,no,Poaceae
Elymus_villosus,NA,NA,NA,no,no,yes,Poaceae
Elymus_virginicus,ELYVIR,Elymus,virginicus,no,yes,yes,Poaceae
Epilobium_angustifolium,NA,NA,NA,no,no,yes,Onagraceae
Epipactis_helleborine,EPIHEL,Epipactis,helleborine,no,yes,no,Orchidaceae
Equisetum_sp,EQUSPP,Equisetum,spp.,yes,no,no,Equisetaceae
Erechtites_hieraciifolius,EREHIE,Erechtites,hieraciifolia,yes,yes,no,Asteraceae
Erigeron_annuus,ERIANN,Erigeron,annuus,no,yes,no,Asteraceae
Erigeron_strigosus,ERISTR,Erigeron,strigosus,yes,no,no,Asteraceae
Eryngium_yuccifolium,ERYYUC,Eryngium,yuccifolium,yes,no,no,Apiaceae
Euonymus_europaeus,EUOEUR,Euonymus,europaeus,no,yes,no,Celastraceae
Eupatorium_altissimum,NA,NA,NA,no,no,yes,Asteraceae
Eupatorium_purpureum,EUTPUR,Eutrochium,purpureum,no,yes,yes,Asteraceae
Euphorbia_corollata,EUPCOR,Euphorbia,corollata,yes,yes,yes,Euphorbiaceae
Eurybia_macrophylla,NA,NA,NA,no,no,yes,Asteraceae
Euthamia_graminifolia,EUTGRA,Euthamia,graminifolia,yes,no,yes,Asteraceae
Fallopia_convolvulus,POLCON,Polygonum,convolvulus,yes,no,no,Polygonaceae
Festuca_sp,FESSPP,Festuca,spp.,no,yes,no,Poaceae
Festuca_subverticillata,NA,NA,NA,no,no,yes,Poaceae
Fragaria_vesca,FRAVES,Fragaria,vesca,no,yes,no,Rosaceae
Fragaria_virginiana,FRAVIR,Fragaria,virginiana,yes,yes,no,Rosaceae
Frangula_alnus,FRAALN,Frangula,alnus,no,yes,no,Rhamnaceae
Fraxinus_americana,FRAAME,Fraxinus,americana,no,yes,no,Oleaceae
Fraxinus_pennsylvanica,FRAPEN,Fraxinus,pennsylvanica,no,yes,no,Oleaceae
Galium_boreale,GALBOR,Galium,boreale,yes,yes,no,Rubiaceae
Galium_circaezans,GALCIR,Galium,circaenzans,no,yes,no,Rubiaceae
Galium_concinnum,GALCON,Galium,concinnum,yes,yes,no,Rubiaceae
Galium_trifidum,GALTRI,Galium,trifidum,yes,yes,no,Rubiaceae
Gaura_biennis,NA,NA,NA,no,no,yes,Onagraceae
Gaylussacia_baccata,GAYBAC,Gaylussacia,baccata,no,yes,no,Ericaceae
Gentiana_alba,NA,NA,NA,no,no,yes,Gentianaceae
Geranium_maculatum,GERMAC,Geranium,maculatum,yes,yes,yes,Geraniaceae
Geum_aleppicum,GEUALE,Geum,aleppicum,yes,no,no,Rosaceae
Geum_canadense,GEUCAN,Geum,canadense,no,yes,no,Rosaceae
Geum_triflorum,GEUTRI,Geum,triflorum,yes,no,no,Rosaceae
Glyceria_striata,NA,NA,NA,no,no,yes,Poaceae
Hackelia_virginiana,HACVIR,Hackelia,virginiana,no,yes,no,Boraginaceae
Helianthemum_sp,HELSPP,Helianthemum,spp.,yes,no,no,Cistaceae
Helianthus_grosseserratus,HELGRO,Helianthus,grosseserratus,yes,yes,no,Asteraceae
Helianthus_maximiliani,NA,NA,NA,no,no,yes,Asteraceae
Helianthus_occidentalis,HELOCC,Helianthus,occidentalis,yes,no,no,Asteraceae
Helianthus_pauciflorus,HELPAU,Helianthus,pauciflorus,yes,no,yes,Asteraceae
Helianthus_strumosus,HELSTR,Helianthus,strumosus,yes,yes,yes,Asteraceae
Heliopsis_helianthoides,HELHEL,Heliopsis,helianthoides,yes,yes,yes,Asteraceae
Hepatica_nobilis,HEPNOB,Hepatica,nobilis,yes,no,no,Ranunculaceae
Heuchera_richardsonii,HEURIC,Heuchera,richardsonii,yes,yes,no,Saxifragaceae
Hieracium_longipilum,HIELON,Hieracium,longipilum,yes,no,no,Asteraceae
Hieracium_umbellatum,HIEUMB,Hieracium,umbellatum,no,yes,no,Asteraceae
Hypericum_ascyron,NA,NA,NA,no,no,yes,Hypericaceae
Hypoxis_hirsuta,HYPHIR,Hypoxis,hirsuta,yes,no,no,Hypoxidaceae
Hystrix_patula,NA,NA,NA,no,no,yes,Poaceae
Impatiens_capensis,IMPCAP,Impatiens,capensis,no,yes,no,Balsaminaceae
Ionactis_linariifolius,IONLIN,Ionactis,linariifolius,yes,no,no,Asteraceae
Juglans_nigra,JUGNIG,Juglans,nigra,no,yes,no,Juglandaceae
Juncus_dudleyi,NA,NA,NA,no,no,yes,Juncaceae
Juncus_tenuis,NA,NA,NA,no,no,yes,Juncaceae
Juniperus_horizontalis,JUNHOR,Juniperus,horizontalis,yes,no,no,Cupressaceae
Juniperus_virginiana,JUNVIR,Juniperus,virginiana,yes,yes,no,Cupressaceae
Koeleria_macrantha,KOEMAC,Koeleria,macrantha,yes,no,no,Poaceae
Krigia_biflora,KRIBIF,Krigia,biflora,yes,no,no,Asteraceae
Lactuca_ludoviciana,LACLUD,Lactuca,ludoviciana,yes,no,no,Asteraceae
Lactuca_sp,LACSPP,Lactuca,spp.,yes,yes,no,Asteraceae
Laportea_canadensis,LAPCAN,Laportea,canadensis,no,yes,no,Urticaceae
Lathyrus_ochroleucus,LATOCH,Lathyrus,ochroleucus,yes,no,no,Fabaceae
Lathyrus_palustris,LATPAL,Lathyrus,palustris,yes,no,no,Fabaceae
Lathyrus_venosus,LATVEN,Lathyrus,venosus,yes,no,no,Fabaceae
Lechea_tenuifolia,LECTEN,Lechea,tenuifolia,yes,no,no,Cistaceae
Leersia_virginica,LEEVIR,Leersia,virginica,no,yes,no,Poaceae
Leonurus_cardiaca,LEOCAR,Leonurus,cardiaca,no,yes,no,Lamiaceae
Lespedeza_sp,NA,NA,NA,no,no,yes,Fabaceae
Lespedeza_capitata,LESCAP,Lespedeza,capitata,yes,no,yes,Fabaceae
Liatris_aspera,NA,NA,NA,no,no,yes,Asteraceae
Liatris_sp,LIASPP,Liatris,spp.,yes,no,no,Asteraceae
Linum_sulcatum,LINSUL,Linum,sulcatum,yes,no,no,Linaceae
Liparis_liliifolia,LIPLIL,Liparis,liliifolia,yes,no,no,Orchidaceae
Lithospermum_canescens,LITCAN,Lithospermum,canescens,yes,no,no,Boraginaceae
