sppcode,merge_status,merge_code,Genus,Species
EPIHEL,Good,EPIHEL,Epipactis,helleborine
GALCIR,Good,GALCIR,Galium,circaezans
MUHGLO,Good,MUHGLO,Muhlenbergia,glomerata
RIBSPP,Good,RIBSPP,Ribes,spp
ROSCAR,Good,ROSCAR,Rosa,carolina
RUBPUB,Good,RUBPUB,Rubus,pubescens
SOLALT,Good,SOLALT,Solidago,altissima
SOLSPP,Good,SOLSPP,Solidago,spp
SYMCOR,Good,SYMCOR,Symphyotrichum,cordifolium
FESOBT,Absolute,VULOCT,Vulpia,octoflora
ACHCAN,Absolute,AQUCAN,Aquilegia,canadensis
AMBLI,Absolute,AMABLI,Amaranthus,blitoides
ARCMIN.1,Absolute,ARCMIN,Arctium,minus
CELSCAN,Absolute,CELSCA,Celastrus,scandens
CYSBOL,Absolute,CYSBUL,Cystopteris,bulbifera
CYSFAG,Absolute,CYSFRA,Cystopteris,fragilis
DICOLY,Absolute,DICOLI,Dichanthelium,oligosanthes
ERIANN,Absolute,ERISTR,Erigeron,strigosus
GETRI,Absolute,GEUTRI,Geum,triflorum
HAVCIR,Absolute,HACVIR,Hackelia,virginiana
IMPCAN,Absolute,IMPCAP,Impatiens,capensis
LYSQUD,Absolute,LYSQRA,Lysimachia,quadriflora
PYRELI,Absolute,PYRELL,Pyrola,elliptica
QUEELI,Absolute,QUEELL,Quercus,ellipsoidalis
RUBTRI,Absolute,RUDTRI,Rudbeckia,triloba
SILLAS,Absolute,SILLAC,Silphium,laciniatum
ASTCIL,Absolute,SYMCIL,Symphyotrichum,ciliolatum
Alt.clasping.blueish.thick.leaf,delete,,,
Alt.shrub.clastous.,delete,,,
Blueish.fern,delete,,,
Carrot.fern,delete,,,
Fine.zigzag.grass,delete,,,
Fuzzy.sheath.grass,delete,,,
Lg.fleshy.shoot,delete,,,
Serate.Berberus,delete,,,
Small.wide.grass,delete,,,
ASCSCL,delete,,,
CARBRE,delete,,,
CYPSPP.1,delete,,,
HEPROT,delete,,,
HEPROT,delete,,,
PETALB,delete,,,
RUBRAD,delete,,,
STRVIR,delete,,,