site,ACENEG,ACHMIL,ACTPAC,ACTRUB,AGRGRY,AGRREP,AGRTRA,ALLCER,AMBART,AMBPSI,AMESPP,AMOCAN,AMOFRU,AMPBRA,ANDGER,ANECYL,ANEQUI,ANEVIR,ANTSPP,APIAME,APOAND,APOCAN,AQUCAN,ARBLYR,ARANUD,ARCUVA,ARITRI,AROMEL,ARTCAM,ARTFRI,ASCAMP,ASCEXA,ASCSYR,ASCTUB,ASCVER,ASCVIR,ASPOFF,SYMOOL,SYMERI,SYMLAE,SYMLAT,IONLIN,SYMMAC,SYMNOV,SYMOBL,SYMSER,SYMSHO,SYMURO,ASTCAN,ATHFIL,AURFLA,AURGRA,AURSPP,BAPLAC,BAPLEU,BESBUL,BIDSPP,BLECIL,BOTMUL,BOTVIR,BOUCUR,BOUHIR,BRIEUP,BROKAL,CACPLA,CALCAN,CALSEP,CAMAME,CAMROT,CARCEP,CARCON,CARLAX,CARMUH,CARPAU,CARPEN,CARSPP,CAROVA,CASFAS,CASSES,CEAAME,CELSCAN,CHIUMB,CIRLUT,CIRALT,CIRCAN,CIRDIS,CLEVIR,COMUMB,CORPAL,CORALT,CORRAC,CORRUG,CORSEM,CORAME,CRASPP,CRYCAN,CYPSPP,CYPSPP,CYSFAG,DALCAN,DALPUR,DANSPI,DESCAN,DESGLU,DESILL,DICACU,DICLAT,DICLEI,DICLIN,DICOLI,DIELON,DIGCOG,DIOVIL,DODMEA,DRYMAR,ELYCAN,ELYVIL,EQULAE,EREHIE,ERIPHI,ERIPUL,ERISTR,ERYYUC,EUPPER,EUPRUG,EUPCOR,EUTGRA,FRAVIR,GALAPA,GALBOR,GALCON,GALTRI,GAYBAC,GENAND,GENPUB,GERMAC,GEUALE,GEUCAN,GETRI,GLYSTR,GNAOBT,HEDHIS,HELCAN,HELSPP,HELGRO,HELOCC,HELRIG,HELSTR,HELHEL,HEPNOB,HEURIC,HIELON,HYPHIR,HYSPAT,JUNHOR,JUNVIR,KOECRI,KRIBIF,LACBIE,LACCAN,LACLUD,LATOCH,LATPAL,LATVEN,LECTEN,LESCAP,LIAASP,LIACYL,LIAPYC,LIASPI,LILPHI,LILSUP,LINSUL,LIPLIL,LITCAN,LITCAR,LITINC,LOBSPI,LONDIO,LONOBL,LONPRO,LUPPER,LUZCAM,LYSCIL,LYSLAN,LYSQUA,LYSQUD,MAICAN,MALLOE,MELALB,MINMIC,MOELAT,MONFIS,MONPUN,MONUNI,MUHCUS,MUHFRO,MUHRAC,MYRGAL,OENBIE,OENFRU,OPUHUM,OROUNI,OSMCLA,OSMLON,OSUCLA,OXAVIO,OXYRIG,PANTRI,PANVIR,PARPEN,PARQUI,PEDCAN,PELATR,PENGRA,PENSED,PHLPRA,PHLPIL,PHRLEP,PHYHET,PHYVIR,PHYOPU,POACOM,POAPRA,PODPEL,POLPOL,POLSAN,POLSEN,POLVER,POLBIF,POLPUB,POLCON,POLVIR,POLSPP,POPTRE,POTARG,POTCAN,POTSIM,PREALB,PRERAC,PRUVUL,PRUPUM,PRUSER,PRUVIR,PTEAQU,PULPAT,PYCVIR,PYRAME,PYRELL,QUEALB,QUEMAC,QUEVEL,RANABO,RANFAS,RATPIN,RHUGLA,RHUTYP,RIBCYN,ROSSPP,RUBALL,RUBHIS,RUBIDE,RUBSPP,RUDHIR,RUDSUB,RUMACE,SALHUM,SALSPP,SAMCAN,SANCAN,SANGRE,SANMAR,SAXPEN,SCHSCO,SCRLAN,SCUPAR,SELRUP,SENAUR,SILANT,SILSTE,SILINT,SILLAC,SILTER,SISCAM,SIUSUA,SMIRAC,SMISTE,SMIECI,SMIHER,SOLDUL,SOLCAN,SOLFLE,SOLGIG,SOLJUN,SOLMIS,SOLNEM,SOLPTA,SOLRIG,SOLSPE,SOLULM,SORNUT,SPAPEC,SPOCRY,SPOHET,SPOVAG,STATRI,STISPA,SYMOCC,TAEINT,TALRUG,TAROFF,TARSPP,TEPVIR,THADAS,THADIO,TOXRAD,TRAOHI,TRASPP,TRIBOR,TRIGRA,TRIPER,TRIPEF,UVUGRA,VACANG,VALEDU,VERSTR,VERVIR,VIBRAF,VICAME,VICCAR,VICSAT,VIOCON,VIOOBL,VIOPED,VIOPAA,VIOPUB,VIOSAG,VITRIP,WOOILV,ZANAME,ZIGELE,ZIZAPT,ZIZAUR
1149_1950,0,20,0,0,0,0,0,0,1,0,0,35,0,40,1,1,5,0,30,0,1,5,0,0,15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,20,0,0,5,0,0,0,0,20,1,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,80,0,10,0,0,0,5,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,10,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,0,0,5,0,0,5,15,5,80,1,0,0,0,15,0,15,0,0,5,10,0,0,20,10,0,40,0,10,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,30,40,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0
1150_1950,0,1,0,0,1,0,0,0,0,0,0,28,0,85,3,1,1,0,18,0,6,9,0,0,20,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,40,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,1,0,0,0,0,14,10,0,20,0,0,40,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,40,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,6,0,0,0,52,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,10,0,7,1,0,0,0,0,0,0,0,6,0,1,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,10,0,0,0,0,0,11,0,1,0,0,0,0,0,5,48,1,0,0,0,0,0,0,0,0,7,5,0,0,21,0,0,0,20,1,0,0,0,5,0,0,1,0,0,5,0,0,0,0,0,0,5,0,0,0,0,10,55,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,7,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,18,0,0,0,1,0,0,0,0,0
1154_1950,0,0,0,0,0,0,0,0,1,0,0,18,0,11,11,1,0,0,7,0,0,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,64,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,1,0,4,0,0,1,1,0,0,0,0,7,1,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,1,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,7,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,1,0,0,0,0,0
1155_1950,0,0,0,0,0,0,0,0,0,0,0,51,0,0,10,3,0,0,5,0,1,0,0,5,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54,0,3,0,3,0,0,0,5,0,0,1,0,10,3,0,0,0,0,0,3,0,7,7,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,14,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,0,0,0,1,0,0,0,0,0
1156_1950,0,5,0,0,0,0,0,0,1,25,0,1,0,0,0,1,0,0,10,5,0,0,0,5,0,0,0,0,5,0,1,0,0,0,1,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,1,5,10,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,5,5,0,0,0,0,1,10,0,5,0,0,0,0,0,20,1,0,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,5,0,10,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,20,5,25,5,0,1,0,30,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,40,0,0,1,0,0,0,20,1,0,0,0,0,0,0,0,0,10,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,5,5,0,0,0,0,0
1157_1950,5,0,0,0,0,0,0,0,0,0,0,30,0,10,60,30,0,0,20,0,0,0,20,20,0,0,0,0,15,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5,25,20,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,5,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,35,0,0,0,0,1,0,0,0,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,5,10,0,0,0,0,0,0,0,5,0,0,0,0,25,0,5,5,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,5,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,45,5,15,0,0,0,0,1,0,0,5,0,0,5,0,0,0,0,15,0,0,0,45,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,5,0,15,0,0,0
1158_1950,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,30,0,20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,15,0,0,0,10,0,0,0,0,0
1160_1950,0,0,0,0,0,0,0,0,25,5,0,40,0,0,45,15,0,0,0,0,0,0,10,5,0,0,0,0,15,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,45,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,1,0,0,30,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1,0,0,0,0,0,0,1,0,40,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,10,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,5,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,40,30,0,0,1,0,0,0,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,5,0,0,0,0,0
1162_1950,0,1,0,0,0,0,0,0,5,0,0,50,0,0,10,10,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,20,5,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,1,0,0,30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,5,0,5,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,5,0,0,5,15,0,0,0,5,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,15,0,0,5,0,0
1163_1950,0,0,0,0,0,0,0,0,0,0,0,90,0,30,65,0,0,0,10,0,45,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,10,55,0,0,0,0,5,0,0,0,0,0,25,25,0,5,1,10,0,0,0,0,35,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,65,0,10,0,65,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,25,70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,10,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,35,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0
1165_1950,0,5,0,0,0,0,0,0,10,1,0,0,0,20,15,1,0,5,30,0,5,0,40,5,10,0,5,0,0,0,0,0,0,0,0,0,0,10,0,1,5,5,0,0,0,0,0,5,0,0,0,0,0,1,0,0,20,0,5,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,35,0,0,0,0,1,0,0,0,0,0,0,0,5,5,0,0,0,15,0,0,0,0,0,5,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,20,0,0,15,0,0,0,1,0,5,0,10,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,15,0,0,10,0,0,0,0,0,5,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,10,0,5,5,0,0,1,0,10,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1,5,0,15,0,15,0,0,0,0,5,0,0,0,0,0,0,0,5,0,10,5,0,1,0,5,0,0,0,0,15,15,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,1,0,40,5,25,0,0,0,0
1166_1950,0,0,0,0,0,0,0,0,1,0,0,30,0,1,1,10,0,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,10,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,1,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1167_1950,0,0,0,0,0,0,0,0,0,0,1,20,0,5,1,1,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
1169_1950,0,67,0,0,1,0,0,1,1,8,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,17,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,50,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,25,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,33,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,16,0,0,8,0,8,0,0,0,5,0,0,25,0,0,0,0,0,0,0,0,17,0,0,0,0,0,8,16,0,42,0,0,0,0,17,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0
