old,new,notes
Hystrix_patula,Elymus_hystrix,
Solidago_graminifolia,Euthamia_graminifolia,
Hypericum_ascyron,Hypericum_pyramidatum,
Pycnanthemum_verticillatum,Pycnanthemum_pilosum,
Bromus_purgans,Bromus_pubescens,
Dalea_purpureum,Dalea_purpurea,
Symphyotrichum_oolentangiensis,Aster_azureus,
Symphyotrichum_oolentangiense,Aster_azureus,
Symphyotrichum_laevis,Aster_laevis,
Smilacina_racemosa,Maianthemum_racemosum,
Polygonatum_canaliculatum,Polygonatum_biflorum,
Eutrochium_purpureum,Eupatorium_purpureum,
Arnoglossum_atriplicifolia,Arnoglossum_atriplicifolium,
Dalea_candidum,Dalea_candida,
Amorpha_canescans,Amorpha_canescens,
Osmorhiza_claytoni,Osmorhiza_claytonii,
Solidago_rigida,Solidago_rigidum,technically the old name is correct but thats not what is in the database
Symphyotrichum_drummondii,Aster_drummondii,
Symphyotrichum_laeve,Aster_laevis,
Symphyotrichum_shortii,Aster_shortii,